,course_name,district,city_name1,length,height,hiking_road,uphill_road,downhill_road,level,level_1
1,고봉산~고봉산등산로_코스,경기도,고양시,1321,132,1.1,0.1,0.1,10,very easy
2,고봉산~고봉산등산로_코스,경기도,고양시,852,132,0.65,0.1,0.1,10,very easy
3,고봉산등산로~고봉산등산로_코스,경기도,고양시,1548,132,1.35,0.1,0.1,11,very easy
4,황룡산_코스,경기도,고양시,1759,103,1.36,0.3,0.1,13,very easy
5,황룡산_코스,경기도,고양시,1680,103,1.28,0.3,0.1,13,very easy
6,덕소등산로입구~덕소주유소_코스,경기도,남양주,4294,112,3.6,0.2,0.49,14,very easy
7,덕소등산로입구~새재골방축_코스,경기도,남양주,3522,180,2.42,0.6,0.5,16,very easy
8,덕소등산로입구~새재골_코스,경기도,남양주,3437,180,2.54,0.6,0.3,16,very easy
9,삼성산국기대~국기대(깃대봉)_코스,경기도,안양시,1182,441,0.88,0.1,0.2,17,very easy
10,삼성산국기대~국기대(깃대봉)_코스,경기도,안양시,1182,441,0.88,0.1,0.2,17,very easy
11,효자2통 버스정류장~북한산성탐방지원센터_코스,경기도,고양시,3162,109,2.56,0.3,0.3,17,very easy
12,황금산_코스,경기도,남양주,994,45,0.8,0.09,0.1,17,very easy
13,토월약수터위~성지바위산_코스,경기도,용인시,1931,244,0.83,0.6,0.5,18,very easy
14,능원초등학교~대지산_코스,경기도,용인시,3201,314,2,1.1,0.1,18,very easy
15,밤골 매표소기점~북한산성분소_코스,경기도,고양시,3106,109,2.31,0.4,0.4,18,very easy
16,북한산성계곡~효자2통 버스정류장_코스,경기도,고양시,3300,109,2.6,0.3,0.4,18,very easy
17,효자2통 버스정류장~북한산성분소_코스,경기도,고양시,3174,109,2.57,0.3,0.3,18,very easy
18,효자2통 버스정류장~북한산성계곡_코스,경기도,고양시,3300,109,2.6,0.4,0.3,18,very easy
19,학미산_코스,경기도,시흥시,2082,82,1.78,0.1,0.2,18,very easy
20,덕소등산로입구~월문교사거리_코스,경기도,남양주,6004,407,4.5,1.3,0.2,18,very easy
21,월문교사거리~덕소등산로입구_코스,경기도,남양주,6004,407,4.4,0.1,1.4,18,very easy
22,홍천고등학교~성지바위산_코스,경기도,용인시,2863,244,1.56,1,0.3,19,very easy
23,형제봉~대지산_코스,경기도,성남시,3102,319,2,0.4,0.7,19,very easy
24,불곡산~숫돌봉_코스,경기도,광주시,3743,318,2.44,0.7,0.6,19,very easy
25,도정산~비루봉_코스,경기도,의정부,5034,285,3.43,0.9,0.7,19,very easy
26,미소래요양원~관산14동마을회관_코스,경기도,고양시,2376,120,1.38,0.4,0.6,19,very easy
27,관산14동마을회관~관산초등학교_코스,경기도,고양시,2344,120,1.44,0.5,0.4,19,very easy
28,관산14동마을회관~미소래요양원_코스,경기도,고양시,2376,120,1.4,0.5,0.48,19,very easy
29,관산초등학교~관산14동마을회관_코스,경기도,고양시,2344,120,1.24,0.4,0.7,19,very easy
30,북한산성계곡~삼천사계곡폭포_코스,경기도,고양시,4399,205,3,1.1,0.3,19,very easy
31,북한산성계곡~연서로48길_코스,경기도,고양시,6643,158,4.54,1.1,1,19,very easy
32,월문교사거리~예봉산_코스,경기도,남양주,8564,649,5.5,1.8,1.06,19,very easy
33,덕계역~고장산_코스,경기도,양주시,1314,221,0.61,0.6,0.1,19,very easy
